# Passage coverage: every paragraph of the Jowett dialogue in PG #1600 (TXT form; the HTML is identical except that it prints -- as an em-dash).
# source_index 0 = "Concerning the things..."; PERSONS OF THE DIALOGUE and SCENE lines are dialogue front matter, not reading text (see COVERAGE.md).
# Section labels are descriptive navigation aids for this record, not Plato's divisions and not the reader's chapter titles.
source_index	section	sha256_txt	sha256_html	words	baseline_coordinates	candidate_coordinates	status	opening
0	Prologue: Apollodorus recalls meeting Glaucon; the companion replies	91b4e9641d6803e752a9a95861f75cea5019a7acbe3d0a3fa45f487ac29e4d9a	91b4e9641d6803e752a9a95861f75cea5019a7acbe3d0a3fa45f487ac29e4d9a	177	MISSING	1.0	RESTORED verbatim (missing from baseline)	Concerning the things about which you ask to be informed I believe tha
1	Prologue: Apollodorus recalls meeting Glaucon; the companion replies	fe61be31b6448ce16053c550ce6ad07b9d37b7520efeee9978de19737e645496	fe61be31b6448ce16053c550ce6ad07b9d37b7520efeee9978de19737e645496	28	MISSING	1.1	RESTORED verbatim (missing from baseline)	Your informant, Glaucon, I said, must have been very indistinct indeed
2	Prologue: Apollodorus recalls meeting Glaucon; the companion replies	656d25916b55a7625830cc9c302471823703b70e9adc842d0c1043c7def1dcf7	656d25916b55a7625830cc9c302471823703b70e9adc842d0c1043c7def1dcf7	7	MISSING	1.2	RESTORED verbatim (missing from baseline)	Why, yes, he replied, I thought so.
3	Prologue: Apollodorus recalls meeting Glaucon; the companion replies	0d557a23652edd2e69e97b6f1c7945f07ff0726fbaf639c9967dc7008a0b0a58	0d557a23652edd2e69e97b6f1c7945f07ff0726fbaf639c9967dc7008a0b0a58	86	MISSING	1.3	RESTORED verbatim (missing from baseline)	Impossible: I said. Are you ignorant that for many years Agathon has n
4	Prologue: Apollodorus recalls meeting Glaucon; the companion replies	f8ec30e715fffd1f1e7ef1c988d2929e5d7991c8fe2d99144c8b66dca3593e6e	f8ec30e715fffd1f1e7ef1c988d2929e5d7991c8fe2d99144c8b66dca3593e6e	11	MISSING	1.4	RESTORED verbatim (missing from baseline)	Well, he said, jesting apart, tell me when the meeting occurred.
5	Prologue: Apollodorus recalls meeting Glaucon; the companion replies	bcde0df6266de542dcae865ef1242cbbd9aca5c7b877a0ef411a77dd5fe0faaf	bcde0df6266de542dcae865ef1242cbbd9aca5c7b877a0ef411a77dd5fe0faaf	30	MISSING	1.5	RESTORED verbatim (missing from baseline)	In our boyhood, I replied, when Agathon won the prize with his first t
6	Prologue: Apollodorus recalls meeting Glaucon; the companion replies	f75095194a19573d57738182bf03d51a02fb1cdc69f498acf5ce08397ec382b6	92acca246bef8364312990439d601f4626aad4cf524ec44cb47b44227ee1bcef	16	MISSING	1.6	RESTORED verbatim (missing from baseline)	Then it must have been a long while ago, he said; and who told you--di
7	Prologue: Apollodorus recalls meeting Glaucon; the companion replies	33e311e2aa8fc0d1ca006f49cea43e932f6377f53a936c1591b0824df593717e	b65d9eb6f64a5c775c38fcb968e4df2252ad1cb954388e097afed9a1d47301e2	227	MISSING	1.7	RESTORED verbatim (missing from baseline)	No indeed, I replied, but the same person who told Phoenix;--he was a 
8	Prologue: Apollodorus recalls meeting Glaucon; the companion replies	e58a22e2c1a9db757a032360701614c8621380ae3223780847308fb6213949d4	ad9452d286411d873419af1076e8aee9e5ac9949a8d6495d80ec460a033cd4de	66	MISSING	1.8	RESTORED verbatim (missing from baseline)	COMPANION: I see, Apollodorus, that you are just the same--always spea
9	Apollodorus agrees to repeat Aristodemus's account	236ff24ad3a77068e339e1199f4c34440ec2bcf551384efeb4713e70a455e772	236ff24ad3a77068e339e1199f4c34440ec2bcf551384efeb4713e70a455e772	34	1.0	1.9	present verbatim	APOLLODORUS: Yes, friend, and the reason why I am said to be mad, and 
10	Apollodorus agrees to repeat Aristodemus's account	8b0d7ba8c7f76839371500ebba39a781f4c05355a86a78fbf96230b15e431058	8b0d7ba8c7f76839371500ebba39a781f4c05355a86a78fbf96230b15e431058	18	1.1	1.10	present verbatim	COMPANION: No more of that, Apollodorus; but let me renew my request t
11	Apollodorus agrees to repeat Aristodemus's account	dc9c61412ffbd388359d16d56d51d8312eef4027af8ae8897640ff92b25013f5	287b81a7081d377ed955927b751eb4d4ce5afdc1c9b8c6b370c6b0ccfa146b6d	28	1.2	1.11	present verbatim	APOLLODORUS: Well, the tale of love was on this wise:--But perhaps I h
12	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	a21fc118ea43e55173d8ffcf4fae449720e3e33a84548b3b71f555378a54efb7	4a129dd47e82c982904c22ac9b520cda441bfb81873a994b2dab0a77b297eedb	37	1.3	1.12	present verbatim	He said that he met Socrates fresh from the bath and sandalled; and as
13	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	510a4fc546de39c1c0d86dc11e294bd501f07545189d667e489ec91f4be922fd	510a4fc546de39c1c0d86dc11e294bd501f07545189d667e489ec91f4be922fd	51	1.4	1.13	present verbatim	To a banquet at Agathon's, he replied, whose invitation to his sacrifi
14	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	81f936cffa5421ac0ed2afebe1969954ec8839e2ae19b0abbea21732436b7b4b	81f936cffa5421ac0ed2afebe1969954ec8839e2ae19b0abbea21732436b7b4b	9	1.5	1.14	present verbatim	I will do as you bid me, I replied.
15	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	6d899c965a3dd9318d3c653ad96136d1735bb5feb295abc9cfad10dbe55d7806	28e12f7c2f2e8d19177167540314c088c0afc06d3d0ca1e14233f38205a12f46	10	1.6	1.15	present verbatim	Follow then, he said, and let us demolish the proverb:--
16	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	0f58ae27aa1b93cd80fb30adf79730216bcd5cffd4eb9878619d5376c32f5830	0f58ae27aa1b93cd80fb30adf79730216bcd5cffd4eb9878619d5376c32f5830	10	1.7	1.16	present verbatim	'To the feasts of inferior men the good unbidden go;'
17	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	09518b4b85984f2a8d620907f97dd2320f4141df2914dad525c638078c2f389d	f2276991e27bb05d20824fc8096ddec65bdf3a97faf1bc49272d4c103b6546ab	7	1.8	1.17	present verbatim	instead of which our proverb will run:--
18	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	c3363670fcff1907a54e3b7d21ced0b2970c95028e5f65719c30591fad70ae81	c3363670fcff1907a54e3b7d21ced0b2970c95028e5f65719c30591fad70ae81	10	1.9	1.18	present verbatim	'To the feasts of the good the good unbidden go;'
19	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	f7fcdc7f5dced5405384d160b514c4b2548ddfab25a35535bb1cc833d280b981	f7fcdc7f5dced5405384d160b514c4b2548ddfab25a35535bb1cc833d280b981	66	1.10	1.19	present verbatim	and this alteration may be supported by the authority of Homer himself
20	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	2b95e8990e0c13f48b34a26ce703f022a4c3a98523b66eaa946718fbead4c151	2b95e8990e0c13f48b34a26ce703f022a4c3a98523b66eaa946718fbead4c151	26	1.11	1.20	present verbatim	I rather fear, Socrates, said Aristodemus, lest this may still be my c
21	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	1e06c286ec38fc1b0bd8cd3f5ce6a46d4341a730536087d7b529ab6b3c9685a8	1e06c286ec38fc1b0bd8cd3f5ce6a46d4341a730536087d7b529ab6b3c9685a8	8	1.12	1.21	present verbatim	'To the feasts of the wise unbidden goes.'
22	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	e0eda5aac31fe652bddda84e047c2ca3c48317a3d86b099a57306d72324adb69	e0eda5aac31fe652bddda84e047c2ca3c48317a3d86b099a57306d72324adb69	19	1.13	1.22	present verbatim	But I shall say that I was bidden of you, and then you will have to ma
23	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	b6e40de1ea5c8f11dff1b358123e6f679b52dea448483d2ea46490ee067b2f29	b6e40de1ea5c8f11dff1b358123e6f679b52dea448483d2ea46490ee067b2f29	3	1.14	1.23	present verbatim	'Two going together,'
24	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	3abf8bb5ed6edc8490066a7adc38197d9572a920b6521440e7a400595a8fa789	3abf8bb5ed6edc8490066a7adc38197d9572a920b6521440e7a400595a8fa789	18	1.15	1.24	present verbatim	he replied, in Homeric fashion, one or other of them may invent an exc
25	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	71c0e58c577a6072a66edd44242a0bd5e079b3e29d802ed8d407a934478129e9	dde5fc8a6013cb09c88bdf210a308af02ff093f8b682a07b892c06fa8da4929c	133	1.16	1.25	present verbatim	This was the style of their conversation as they went along. Socrates 
26	Aristodemus's narrative: Socrates, the arrival at Agathon's, supper, the proposal to praise Love	cbfd1b01dcb0e000258fcb15a1179a0c417eee269a8a2af40217bd8eeda287f8	cbfd1b01dcb0e000258fcb15a1179a0c417eee269a8a2af40217bd8eeda287f8	34	1.17	1.26	present verbatim	I turned round, but Socrates was nowhere to be seen; and I had to expl
