group,bookId,edition,title,provenance,chapters,timed,missing,alignableNow,needsRecordingRepair,verifiedPass,verifiedFail,audioHours,state,blocker
non-ai,apology,original-en,Apology,human translation by Benjamin Jowett (1871),3,3,0,0,0,0,0,0.98,complete-unverified,"timings present; not all verified, reader not watched"
non-ai,ivan-ilyich,original-en,The Death of Ivan Ilyich,human translation by Louise & Aylmer Maude,0,0,0,0,0,0,0,0.0,no-audio,no chapter manifests in production
non-ai,kant-groundwork,original-en,Groundwork of the Metaphysics of Morals,human translation by Thomas Kingsmill Abbott,4,4,0,0,0,0,0,3.02,complete-unverified,"timings present; not all verified, reader not watched"
non-ai,social-contract,original-en,The Social Contract,human translation by G. D. H. Cole (1913),48,48,0,0,0,0,0,4.34,complete-unverified,"timings present; not all verified, reader not watched"
non-ai,the-manual,original-en,The Manual,human translation by George Long (1877),52,52,0,0,0,0,0,0.73,complete-unverified,"timings present; not all verified, reader not watched"
non-ai,magna-carta,original-en,Magna Carta,"English-language original, published 1215",1,0,1,1,0,0,0,0.44,processing,1 chapter(s) alignable now
non-ai,communist-manifesto,original-en,The Communist Manifesto,human translation by Samuel Moore (edited by Engels) (1888),5,3,2,2,0,0,0,1.29,processing,2 chapter(s) alignable now
non-ai,meditations,original-en,Meditations,human translation by George Long (1862),12,10,2,2,0,0,0,5.4,processing,2 chapter(s) alignable now
non-ai,second-treatise,original-en,Second Treatise of Government,"English-language original, published 1689",19,17,2,2,0,0,0,5.16,processing,2 chapter(s) alignable now
non-ai,symposium,original-en,Symposium,human translation by Benjamin Jowett (1871),8,6,2,2,0,0,0,1.94,processing,2 chapter(s) alignable now
non-ai,confessions,original-en,Confessions,human translation by Edward Bouverie Pusey (1838),13,10,3,3,0,0,0,9.97,processing,3 chapter(s) alignable now
non-ai,crito,original-en,Crito,human translation by Benjamin Jowett (1871),3,0,3,3,0,0,0,0.49,processing,3 chapter(s) alignable now
non-ai,frederick-douglass,original-en,Narrative of the Life of Frederick Douglass,"historical text, Douglass (1845)",12,9,3,3,0,0,0,3.25,processing,3 chapter(s) alignable now
non-ai,heart-of-darkness,original-en,Heart of Darkness,"English-language original, published 1899",3,0,3,3,0,0,0,3.42,processing,3 chapter(s) alignable now
non-ai,notes-from-underground,original-en,Notes from Underground,human translation by Constance Garnett (1918),21,18,3,3,0,0,0,3.99,processing,3 chapter(s) alignable now
non-ai,discourse-on-inequality,original-en,Discourse on the Origin of Inequality,human translation by G. D. H. Cole (1913),4,0,4,4,0,0,0,3.06,processing,4 chapter(s) alignable now
non-ai,genealogy-of-morals,original-en,On the Genealogy of Morals,human translation by Horace B. Samuel (1913),4,0,4,4,0,0,0,5.32,processing,4 chapter(s) alignable now
non-ai,us-founding-documents,original-en,The US Founding Documents,"historical text, Original (1776–1992)",4,0,4,4,0,0,0,0.91,processing,4 chapter(s) alignable now
non-ai,iliad,original-en,The Iliad,human translation by Samuel Butler (1898),24,19,5,5,0,0,0,13.33,processing,5 chapter(s) alignable now
non-ai,odyssey,original-en,The Odyssey,human translation by Samuel Butler (1900),24,19,5,5,0,0,0,9.93,processing,5 chapter(s) alignable now
non-ai,on-liberty,original-en,On Liberty,"English-language original, published 1859",5,0,5,5,0,0,0,4.69,processing,5 chapter(s) alignable now
non-ai,utilitarianism,original-en,Utilitarianism,"English-language original, published 1863",5,0,5,5,0,0,0,2.75,processing,5 chapter(s) alignable now
non-ai,beyond-good-and-evil,original-en,Beyond Good and Evil,human translation by Helen Zimmern (1907),11,5,6,6,0,0,0,6.61,processing,6 chapter(s) alignable now
non-ai,medea,original-en,Medea,human translation by Gilbert Murray (1906),7,1,6,6,0,0,0,1.26,processing,6 chapter(s) alignable now
non-ai,nicomachean-ethics,original-en,Nicomachean Ethics,human translation by D.P. Chase (1847),10,4,6,6,0,0,0,8.75,processing,6 chapter(s) alignable now
non-ai,peloponnesian-war,original-en,History of the Peloponnesian War,human translation by Richard Crawley (1874),26,20,6,6,0,0,0,19.65,processing,6 chapter(s) alignable now
non-ai,phaedrus,original-en,Phaedrus,human translation by Benjamin Jowett (1871),6,0,6,6,0,0,0,2.17,processing,6 chapter(s) alignable now
non-ai,hume-enquiry,original-en,An Enquiry Concerning Human Understanding,"historical text, Hume (1748)",19,12,7,7,0,0,0,5.51,processing,7 chapter(s) alignable now
non-ai,jungle-book,original-en,The Jungle Book,"English-language original, published 1894",7,0,7,7,0,0,0,4.52,processing,7 chapter(s) alignable now
non-ai,the-aeneid,original-en,The Aeneid,human translation by John Dryden (1697),12,5,7,7,0,0,0,10.51,processing,7 chapter(s) alignable now
non-ai,aristotle-politics,original-en,Politics,human translation by Benjamin Jowett (1885),8,0,8,7,1,0,0,8.45,blocked-on-repair,1 chapter(s) need a recording repaired; 7 alignable now
non-ai,paradise-lost,original-en,Paradise Lost,"English-language original, published 1674",12,4,8,8,0,0,0,8.07,processing,8 chapter(s) alignable now
non-ai,bacchae,original-en,The Bacchae,human translation by Gilbert Murray (1906),11,2,9,9,0,0,0,1.32,processing,9 chapter(s) alignable now
non-ai,descartes-meditations,original-en,Meditations on First Philosophy,human translation by John Veitch (1901),9,0,9,9,0,0,0,2.82,processing,9 chapter(s) alignable now
non-ai,frankenstein,original-en,Frankenstein,"English-language original, published 1831",28,19,9,9,0,0,0,7.07,processing,9 chapter(s) alignable now
non-ai,oedipus-at-colonus,original-en,Oedipus at Colonus,human translation by Francis Storr (1912),11,2,9,9,0,0,0,1.4,processing,9 chapter(s) alignable now
non-ai,phaedo,original-en,Phaedo,human translation by Benjamin Jowett (1871),9,0,9,9,0,0,0,2.54,processing,9 chapter(s) alignable now
non-ai,jekyll-and-hyde,original-en,Strange Case of Dr Jekyll and Mr Hyde,"historical text, Stevenson (1886)",10,0,10,10,0,0,0,2.34,processing,10 chapter(s) alignable now
non-ai,the-republic,original-en,The Republic,human translation by Benjamin Jowett (1871),10,0,10,10,0,0,0,11.36,processing,10 chapter(s) alignable now
non-ai,antigone,original-en,Antigone,human translation by Francis Storr (1912),11,0,11,11,0,0,0,1.01,processing,11 chapter(s) alignable now
non-ai,bible,kjv-en,The Bible,KJV Bible — human translation,1189,1178,11,6,5,0,0,68.46,blocked-on-repair,5 chapter(s) need a recording repaired; 6 alignable now
non-ai,comedy-of-errors,original-en,The Comedy of Errors,"historical text, Shakespeare (1623)",11,0,11,11,0,0,0,1.65,processing,11 chapter(s) alignable now
non-ai,oedipus-rex,original-en,Oedipus Rex,human translation by Francis Storr (1912),11,0,11,10,1,0,0,1.25,blocked-on-repair,1 chapter(s) need a recording repaired; 10 alignable now
non-ai,wealth-of-nations,original-en,The Wealth of Nations,"historical text, Smith (1776)",32,21,11,11,0,0,0,37.54,processing,11 chapter(s) alignable now
non-ai,taming-of-the-shrew,original-en,The Taming of the Shrew,"historical text, Shakespeare (1623)",12,0,12,12,0,0,0,2.09,processing,12 chapter(s) alignable now
non-ai,the-art-of-war,original-en,The Art of War,human translation by Lionel Giles (1910),13,0,13,13,0,0,0,1.18,processing,13 chapter(s) alignable now
non-ai,jerusalem,original-en,Jerusalem,human translation by Velma Swanston Howard (1915),18,4,14,14,0,0,0,6.95,processing,14 chapter(s) alignable now
non-ai,niels-lyhne,original-en,Niels Lyhne,human translation by Hanna Astrup Larsen (1919),14,0,14,1,13,0,0,6.25,blocked-on-repair,13 chapter(s) need a recording repaired; 1 alignable now
non-ai,othello,original-en,Othello,"historical text, Shakespeare (1622)",15,1,14,14,0,0,0,2.89,processing,14 chapter(s) alignable now
non-ai,vindication-rights-of-woman,original-en,A Vindication of the Rights of Woman,"English-language original, published 1792",15,0,15,15,0,0,0,8.5,processing,15 chapter(s) alignable now
non-ai,winters-tale,original-en,winters-tale,"historical text, Shakespeare (1623)",15,0,15,15,0,0,0,2.56,processing,15 chapter(s) alignable now
non-ai,much-ado-about-nothing,original-en,Much Ado About Nothing,"historical text, Shakespeare (1600)",17,1,16,16,0,0,0,2.29,processing,16 chapter(s) alignable now
non-ai,as-you-like-it,original-en,As You Like It,"historical text, Shakespeare (1623)",17,0,17,17,0,0,0,2.15,processing,17 chapter(s) alignable now
non-ai,ulysses,original-en,Ulysses,"English-language original, published 1922",18,1,17,17,0,0,0,26.85,processing,17 chapter(s) alignable now
non-ai,federalist-papers,original-en,The Federalist Papers,"English-language original, published 1788",85,67,18,18,0,0,0,19.07,processing,18 chapter(s) alignable now
non-ai,julius-caesar,original-en,Julius Caesar,"historical text, Shakespeare (1623)",18,0,18,18,0,0,0,2.16,processing,18 chapter(s) alignable now
non-ai,oresteia,original-en,The Oresteia,human translation by E. D. A. Morshead (1881),26,8,18,18,0,0,0,3.36,processing,18 chapter(s) alignable now
non-ai,twelfth-night,original-en,Twelfth Night,"historical text, Shakespeare (1623)",18,0,18,18,0,0,0,2.19,processing,18 chapter(s) alignable now
non-ai,walden,original-en,Walden,"English-language original, published 1854",18,0,18,18,0,0,0,9.66,processing,18 chapter(s) alignable now
non-ai,a-little-princess,original-en,A Little Princess,"English-language original, published 1905",19,0,19,19,0,0,0,6.09,processing,19 chapter(s) alignable now
non-ai,henry-iv-part-2,original-en,"Henry IV, Part 2","historical text, Shakespeare (1600)",19,0,19,19,0,0,0,2.73,processing,19 chapter(s) alignable now
non-ai,leviathan,original-en,Leviathan,"historical text, Hobbes (1651)",49,29,20,20,0,0,0,20.0,processing,20 chapter(s) alignable now
non-ai,merchant-of-venice,original-en,The Merchant of Venice,"historical text, Shakespeare (1600)",20,0,20,20,0,0,0,2.18,processing,20 chapter(s) alignable now
non-ai,the-histories,original-en,The Histories,human translation by George Campbell Macaulay (1890),1200,1180,20,20,0,0,0,20.9,processing,20 chapter(s) alignable now
non-ai,henry-v,original-en,Henry V,"historical text, Shakespeare (1600)",23,0,23,23,0,0,0,2.69,processing,23 chapter(s) alignable now
non-ai,the-awakening,original-en,The Awakening,"English-language original, published 1899",39,15,24,24,0,0,0,4.72,processing,24 chapter(s) alignable now
non-ai,richard-iii,original-en,Richard III,"historical text, Shakespeare (1597)",25,0,25,25,0,0,0,3.23,processing,25 chapter(s) alignable now
