id,title,author,scope,core_key_en,has_modern_en,chapters_core,chapters_modern,chapter_count_mismatch,para_count_mismatch_total,mean_weighted_similarity,pct_identical_long_paragraphs,truncated_paragraphs_total,empty_paragraphs_total,last_chapter_suspiciously_short,en_editions_aligned,word_count_core,word_count_modern_en
odyssey,The Odyssey,Homer,public,original-en,True,24,24,False,0,0.6946,0.0,0,0,False,True,117228,104916
ulysses,Ulysses,James Joyce,public,original-en,True,18,18,False,0,0.935,0.7,0,0,False,True,264931,268222
war-and-peace,War and Peace,Leo Tolstoy,public,original-en,True,365,365,False,0,0.6958,0.6,21,0,False,True,561695,534552
bible,The Bible,Various,public,kjv-en,True,1189,1189,False,0,0.424,0.0,71,0,False,True,820729,753765
gilgamesh,The Epic of Gilgamesh,Anonymous,public,original-en,True,12,12,False,0,0.5456,0.0,1,0,False,True,18845,16439
hamlet,Hamlet,William Shakespeare,public,original-en,True,20,20,False,0,0.3864,0.0,1,0,False,True,31621,30903
macbeth,Macbeth,William Shakespeare,public,original-en,True,28,28,False,0,0.4438,2.5,0,0,False,True,16520,17683
midsummer,A Midsummer Night's Dream,William Shakespeare,public,original-en,True,9,9,False,0,0.3873,0.7,0,0,False,True,17017,17813
romeo-and-juliet,Romeo and Juliet,William Shakespeare,public,original-en,True,25,25,False,0,0.4173,0.2,0,0,False,True,25515,25597
the-tempest,The Tempest,William Shakespeare,public,original-en,True,10,10,False,0,0.4294,2.5,0,0,True,True,17269,18102
the-art-of-war,The Art of War,Sun Tzu,public,original-en,True,13,13,False,0,0.3829,0.0,31,0,False,True,10847,8329
pride-and-prejudice,Pride and Prejudice,Jane Austen,public,original-en,True,61,61,False,0,0.6722,0.0,1,0,False,True,121546,114090
crime-and-punishment,Crime and Punishment,Fyodor Dostoevsky,public,original-en,True,41,41,False,0,0.6018,0.1,0,0,False,True,202615,189484
the-republic,The Republic,Plato,public,original-en,True,10,10,False,0,0.6545,10.0,0,0,False,True,118264,108521
