book 1 para 9: Pusey has 2 double-quote marks, candidate 0
book 4 para 1: Pusey has 0 double-quote marks, candidate 2
book 4 para 2: Pusey has 2 double-quote marks, candidate 0
book 4 para 3: Pusey has 4 double-quote marks, candidate 8
book 4 para 4: Pusey has 6 double-quote marks, candidate 4
book 4 para 15: Pusey has 0 double-quote marks, candidate 2
book 5 para 0: Pusey has 0 double-quote marks, candidate 2
book 5 para 7: Pusey has 2 double-quote marks, candidate 4
book 5 para 21: Pusey has 2 double-quote marks, candidate 6
book 5 para 23: Pusey has 6 double-quote marks, candidate 4
book 6 para 8: Pusey has 0 double-quote marks, candidate 2
book 6 para 14: Pusey has 4 double-quote marks, candidate 2
book 6 para 16: Pusey has 0 double-quote marks, candidate 2
book 7 para 2: Pusey has 2 double-quote marks, candidate 4
book 7 para 10: Pusey has 12 double-quote marks, candidate 10
book 7 para 22: Pusey has 4 double-quote marks, candidate 2
book 8 para 20: Pusey has 4 double-quote marks, candidate 0
book 8 para 23: Pusey has 0 double-quote marks, candidate 2
book 9 para 3: Pusey has 0 double-quote marks, candidate 2
book 9 para 26: Pusey has 14 double-quote marks, candidate 8
book 9 para 27: Pusey has 6 double-quote marks, candidate 4
book 10 para 17: Pusey has 6 double-quote marks, candidate 4
book 10 para 26: Pusey has 6 double-quote marks, candidate 4
book 10 para 28: Pusey has 6 double-quote marks, candidate 2
book 10 para 32: Pusey has 4 double-quote marks, candidate 2
book 11 para 0: Pusey has 0 double-quote marks, candidate 4
book 11 para 7: Pusey has 2 double-quote marks, candidate 6
book 11 para 10: Pusey has 0 double-quote marks, candidate 2
book 11 para 11: Pusey has 2 double-quote marks, candidate 4
book 11 para 13: Pusey has 10 double-quote marks, candidate 12
book 11 para 15: Pusey has 0 double-quote marks, candidate 2
book 11 para 20: Pusey has 2 double-quote marks, candidate 0
book 11 para 30: Pusey has 12 double-quote marks, candidate 14
book 11 para 37: Pusey has 2 double-quote marks, candidate 0
book 11 para 39: Pusey has 12 double-quote marks, candidate 10
book 12 para 32: Pusey has 4 double-quote marks, candidate 6
book 13 para 3: Pusey has 0 double-quote marks, candidate 2
book 13 para 7: Pusey has 0 double-quote marks, candidate 2
book 13 para 8: Pusey has 0 double-quote marks, candidate 2
book 13 para 9: Pusey has 0 double-quote marks, candidate 2
book 13 para 10: Pusey has 0 double-quote marks, candidate 2
book 13 para 12: Pusey has 0 double-quote marks, candidate 6
book 13 para 13: Pusey has 0 double-quote marks, candidate 12
book 13 para 14: Pusey has 0 double-quote marks, candidate 4
book 13 para 15: Pusey has 0 double-quote marks, candidate 2
book 13 para 19: Pusey has 0 double-quote marks, candidate 2
book 13 para 22: Pusey has 0 double-quote marks, candidate 4
book 13 para 23: Pusey has 0 double-quote marks, candidate 2
book 13 para 24: Pusey has 0 double-quote marks, candidate 2
book 13 para 35: Pusey has 2 double-quote marks, candidate 0
