id,title,author,year,form,era,current_cover_kind,current_cover_reference,current_cover_asset,current_dimensions,cover_color,cover_accent,audit_status,artwork_filename,final_cover_filename,rights_status,rights_basis,provenance_provider,prompt_template_version,review_status
"odyssey","The Odyssey","Homer","-800","epic","antiquity","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a3a5c","#c9a45c","replace-after-review","odyssey--artwork-v1.png","odyssey--cover-v1.png","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","pilot-reviewed"
"ulysses","Ulysses","James Joyce","1922","novel","contemporary","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#2c1810","#d4a843","replace-after-review","ulysses--artwork-v1.png","ulysses--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"war-and-peace","War and Peace","Leo Tolstoy","1869","novel","modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#3c1a1a","#c9a45c","replace-after-review","war-and-peace--artwork-v1.png","war-and-peace--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"bible","The Bible","Various","-1400","scripture","antiquity","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#2a1a0e","#d4a843","replace-after-review","bible--artwork-v1.png","bible--cover-v1.png","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","pilot-reviewed"
"gilgamesh","The Epic of Gilgamesh","Anonymous","-2100","epic","antiquity","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#4a3728","#c9963a","replace-after-review","gilgamesh--artwork-v1.png","gilgamesh--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"hamlet","Hamlet","William Shakespeare","1600","drama","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a1a2e","#8a7fb5","replace-after-review","hamlet--artwork-v1.png","hamlet--cover-v1.png","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","pilot-reviewed"
"macbeth","Macbeth","William Shakespeare","1606","drama","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#2a0a0a","#b53a3a","replace-after-review","macbeth--artwork-v1.png","macbeth--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"midsummer","A Midsummer Night's Dream","William Shakespeare","1595","drama","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#0e2a1a","#6abf8a","replace-after-review","midsummer--artwork-v1.png","midsummer--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"romeo-and-juliet","Romeo and Juliet","William Shakespeare","1597","drama","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#2e1020","#d4667a","replace-after-review","romeo-and-juliet--artwork-v1.png","romeo-and-juliet--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"the-tempest","The Tempest","William Shakespeare","1611","drama","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#0e1a2e","#5a9abf","replace-after-review","the-tempest--artwork-v1.png","the-tempest--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"the-art-of-war","The Art of War","Sun Tzu","-500","strategy","antiquity","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#2a1a0a","#c4a035","replace-after-review","the-art-of-war--artwork-v1.png","the-art-of-war--cover-v1.png","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","pilot-reviewed"
"pride-and-prejudice","Pride and Prejudice","Jane Austen","1813","novel","modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#2e2014","#d4a86a","replace-after-review","pride-and-prejudice--artwork-v1.png","pride-and-prejudice--cover-v1.png","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","pilot-reviewed"
"crime-and-punishment","Crime and Punishment","Fyodor Dostoevsky","1866","novel","modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a1a1a","#8b4513","replace-after-review","crime-and-punishment--artwork-v1.png","crime-and-punishment--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"the-republic","The Republic","Plato","-375","philosophy","antiquity","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a2a3a","#c9b896","replace-after-review","the-republic--artwork-v1.png","the-republic--cover-v1.png","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","pilot-reviewed"
"meditations","Meditations","Marcus Aurelius","180","philosophy","antiquity","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#2a2018","#9a8a6a","replace-after-review","meditations--artwork-v1.png","meditations--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"divine-comedy","The Divine Comedy","Dante Alighieri","1320","epic","medieval","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a0a0a","#d4a030","replace-after-review","divine-comedy--artwork-v1.png","divine-comedy--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"jane-eyre","Jane Eyre","Charlotte Brontë","1847","novel","modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#2a1a2a","#b87aa0","replace-after-review","jane-eyre--artwork-v1.png","jane-eyre--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"the-aeneid","The Aeneid","Virgil","-19","epic","antiquity","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a1a0a","#c4a035","replace-after-review","the-aeneid--artwork-v1.png","the-aeneid--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"paradise-lost","Paradise Lost","John Milton","1667","epic","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#0a0a1a","#a0a0d4","replace-after-review","paradise-lost--artwork-v1.png","paradise-lost--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"frankenstein","Frankenstein","Mary Shelley","1818","novel","modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#0a1a0a","#6ab56a","replace-after-review","frankenstein--artwork-v1.png","frankenstein--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"the-manual","The Manual","Epictetus","125","philosophy","antiquity","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#2c2c1e","#c8b87a","replace-after-review","the-manual--artwork-v1.png","the-manual--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"apology","Apology","Plato","-399","philosophy","antiquity","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#3a2f2f","#c4a35a","replace-after-review","apology--artwork-v1.png","apology--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"symposium","Symposium","Plato","-385","philosophy","antiquity","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#4a2040","#d4a0b0","replace-after-review","symposium--artwork-v1.png","symposium--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"phaedo","Phaedo","Plato","-385","philosophy","antiquity","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1e2a3a","#8ab4d4","replace-after-review","phaedo--artwork-v1.png","phaedo--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"crito","Crito","Plato","-399","philosophy","antiquity","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1f2a3a","#7aa8c4","replace-after-review","crito--artwork-v1.png","crito--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"phaedrus","Phaedrus","Plato","-370","philosophy","antiquity","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#2a3a4a","#c4d0a8","replace-after-review","phaedrus--artwork-v1.png","phaedrus--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"poetics","Poetics","Aristotle","-335","philosophy","antiquity","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1e2516","#a8b078","replace-after-review","poetics--artwork-v1.png","poetics--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"moby-dick","Moby Dick","Herman Melville","1851","novel","modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a2a3e","#a8c8d8","replace-after-review","moby-dick--artwork-v1.png","moby-dick--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"great-expectations","Great Expectations","Charles Dickens","1861","novel","modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#3a2a1a","#d4b896","replace-after-review","great-expectations--artwork-v1.png","great-expectations--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"the-histories","The Histories","Herodotus","-440","history","antiquity","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#4a3a2a","#c8a860","replace-after-review","the-histories--artwork-v2.png","the-histories--cover-v1.png","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","pilot-reviewed"
"niels-lyhne","Niels Lyhne","J.P. Jacobsen","1880","novel","modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#2a3a2e","#a8b89a","replace-after-review","niels-lyhne--artwork-v1.png","niels-lyhne--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"imitation-of-christ","The Imitation of Christ","Thomas à Kempis","1418","scripture","medieval","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#2a2a3a","#a0a0c8","replace-after-review","imitation-of-christ--artwork-v1.png","imitation-of-christ--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"jerusalem","Jerusalem","Selma Lagerlöf","1901","novel","contemporary","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#4a3a2a","#c8b878","replace-after-review","jerusalem--artwork-v1.png","jerusalem--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"the-awakening","The Awakening","Kate Chopin","1899","novel","modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#0d2233","#6aabcc","replace-after-review","the-awakening--artwork-v1.png","the-awakening--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"brothers-karamazov","The Brothers Karamazov","Fyodor Dostoevsky","1880","novel","modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#5a1a1a","#d4a843","replace-after-review","brothers-karamazov--artwork-v1.png","brothers-karamazov--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"iliad","The Iliad","Homer","-750","epic","antiquity","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#3a1a1a","#c9a04a","replace-after-review","iliad--artwork-v1.png","iliad--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"nicomachean-ethics","Nicomachean Ethics","Aristotle","-350","philosophy","antiquity","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#2a2a1a","#b89a4a","replace-after-review","nicomachean-ethics--artwork-v1.png","nicomachean-ethics--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"the-prince","The Prince","Niccolò Machiavelli","1532","political","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#3a2018","#b8804a","replace-after-review","the-prince--artwork-v1.png","the-prince--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"beyond-good-and-evil","Beyond Good and Evil","Friedrich Nietzsche","1886","philosophy","modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a1a1a","#8b5a3c","replace-after-review","beyond-good-and-evil--artwork-v1.png","beyond-good-and-evil--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"kant-groundwork","Groundwork of the Metaphysics of Morals","Immanuel Kant","1785","philosophy","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a1820","#a09090","replace-after-review","kant-groundwork--artwork-v1.png","kant-groundwork--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"beowulf","Beowulf","Anonymous","1000","epic","medieval","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a2332","#a89060","replace-after-review","beowulf--artwork-v1.png","beowulf--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"candide","Candide","Voltaire","1759","novel","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#8b2c1e","#d4a574","replace-after-review","candide--artwork-v1.png","candide--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"democracy-in-america","Democracy in America","Alexis de Tocqueville","1835","political","modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1f3a5f","#c9a04a","replace-after-review","democracy-in-america--artwork-v1.png","democracy-in-america--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"oedipus-rex","Oedipus Rex","Sophocles","-429","drama","antiquity","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#2a1a12","#c9a04a","replace-after-review","oedipus-rex--artwork-v1.png","oedipus-rex--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
