[2026-09-12T08:03:23Z] created z1qi6bf26bin35 tinct-words-run2-94 gpu=None $0.49/hr
[2026-09-12T08:03:27Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:03:44Z] phase cohort at 0.3 min; setup={"versions": {"faster-whisper": "1.2.1", "ctranslate2": "4.8.2", "av": "18.1.0"}, "commit": "f53d744782e3c369fffd2980a013a7f199c0476e", "model_tree_sha256": "f1fe271c349229677131d389a96d0a28062a6a2c2fee54a8ce119c43538315c5", "ld_library_path": "/usr/local/lib/python3.11/dist-packages/nvidia/cublas/l
[2026-09-12T08:03:44Z] 0.3 min: cohort {"arm_chapters_passed": 0, "arm_chapters_rejected": 0, "arm_chapters_running": 0}
[2026-09-12T08:04:15Z] 0.9 min: cohort {"arm_chapters_passed": 0, "arm_chapters_rejected": 0, "arm_chapters_running": 0}
[2026-09-12T08:04:46Z] 1.4 min: cohort {"arm_chapters_passed": 0, "arm_chapters_rejected": 0, "arm_chapters_running": 0}
[2026-09-12T08:05:17Z] phase aligning at 1.9 min; setup={"versions": {"faster-whisper": "1.2.1", "ctranslate2": "4.8.2", "av": "18.1.0"}, "commit": "f53d744782e3c369fffd2980a013a7f199c0476e", "model_tree_sha256": "f1fe271c349229677131d389a96d0a28062a6a2c2fee54a8ce119c43538315c5", "ld_library_path": "/usr/local/lib/python3.11/dist-packages/nvidia/cublas/l
[2026-09-12T08:05:17Z] 1.9 min: aligning {"arm_chapters_passed": 0, "arm_chapters_rejected": 0, "arm_chapters_running": 0}
[2026-09-12T08:05:48Z] 2.4 min: aligning {"arm_chapters_passed": 0, "arm_chapters_rejected": 0, "arm_chapters_running": 1, "paragraph_diagnostics": 37}
[2026-09-12T08:06:19Z] 2.9 min: aligning {"arm_chapters_passed": 0, "arm_chapters_rejected": 0, "arm_chapters_running": 1, "paragraph_diagnostics": 84}
[2026-09-12T08:06:49Z] 3.4 min: aligning {"arm_chapters_passed": 0, "arm_chapters_rejected": 1, "arm_chapters_running": 1, "paragraph_diagnostics": 125}
[2026-09-12T08:07:20Z] 3.9 min: aligning {"arm_chapters_passed": 0, "arm_chapters_rejected": 1, "arm_chapters_running": 1, "paragraph_diagnostics": 142}
[2026-09-12T08:07:53Z] snapshot 922831 bytes
[2026-09-12T08:07:53Z] 4.5 min: aligning {"arm_chapters_passed": 0, "arm_chapters_rejected": 1, "arm_chapters_running": 1, "paragraph_diagnostics": 170}
[2026-09-12T08:08:24Z] 5.0 min: aligning {"arm_chapters_passed": 0, "arm_chapters_rejected": 1, "arm_chapters_running": 1, "paragraph_diagnostics": 207}
[2026-09-12T08:08:55Z] 5.5 min: aligning {"arm_chapters_passed": 0, "arm_chapters_rejected": 1, "arm_chapters_running": 1, "paragraph_diagnostics": 237}
[2026-09-12T08:09:26Z] 6.0 min: aligning {"arm_chapters_passed": 0, "arm_chapters_rejected": 2, "arm_chapters_running": 1, "paragraph_diagnostics": 297}
[2026-09-12T08:09:57Z] 6.6 min: aligning {"arm_chapters_passed": 0, "arm_chapters_rejected": 3, "arm_chapters_running": 1, "paragraph_diagnostics": 352}
[2026-09-12T08:10:28Z] 7.1 min: aligning {"arm_chapters_passed": 0, "arm_chapters_rejected": 4, "arm_chapters_running": 1, "paragraph_diagnostics": 391}
[2026-09-12T08:11:00Z] 7.6 min: aligning {"arm_chapters_passed": 0, "arm_chapters_rejected": 5, "arm_chapters_running": 1, "paragraph_diagnostics": 450}
[2026-09-12T08:11:31Z] 8.1 min: aligning {"arm_chapters_passed": 0, "arm_chapters_rejected": 6, "arm_chapters_running": 1, "paragraph_diagnostics": 496}
[2026-09-12T08:12:07Z] snapshot 2375286 bytes
[2026-09-12T08:12:07Z] 8.6 min: aligning {"arm_chapters_passed": 0, "arm_chapters_rejected": 6, "arm_chapters_running": 1, "paragraph_diagnostics": 544}
[2026-09-12T08:12:38Z] 9.2 min: aligning {"arm_chapters_passed": 0, "arm_chapters_rejected": 7, "arm_chapters_running": 1, "paragraph_diagnostics": 573}
[2026-09-12T08:13:08Z] 9.7 min: aligning {"arm_chapters_passed": 0, "arm_chapters_rejected": 7, "arm_chapters_running": 1, "paragraph_diagnostics": 592}
[2026-09-12T08:13:39Z] 10.3 min: aligning {"arm_chapters_passed": 1, "arm_chapters_rejected": 7, "arm_chapters_running": 1, "paragraph_diagnostics": 618}
[2026-09-12T08:14:10Z] 10.8 min: aligning {"arm_chapters_passed": 1, "arm_chapters_rejected": 7, "arm_chapters_running": 1, "paragraph_diagnostics": 650}
[2026-09-12T08:14:41Z] 11.3 min: aligning {"arm_chapters_passed": 1, "arm_chapters_rejected": 8, "arm_chapters_running": 1, "paragraph_diagnostics": 662}
[2026-09-12T08:15:11Z] 11.8 min: aligning {"arm_chapters_passed": 1, "arm_chapters_rejected": 8, "arm_chapters_running": 1, "paragraph_diagnostics": 680}
[2026-09-12T08:15:42Z] 12.3 min: aligning {"arm_chapters_passed": 1, "arm_chapters_rejected": 8, "arm_chapters_running": 1, "paragraph_diagnostics": 688}
