# The 46 pre-existing reader-paragraph splits inside long source paragraphs, all at sentence ends. Kept unchanged.
source_index	candidate_before	candidate_after	before_ends_with	after_begins_with
53	2.4	2.5	ugh a mere handful, they would overcome the world.	For what lover would not choose rather to be seen 
54	2.6	2.7	s of women, as the punishment of his cowardliness.	Very different was the reward of the true love of 
55	3.0	3.1	vary according to the manner of their performance.	Take, for example, that which we are now doing, dr
55	3.1	3.2	siasts in the very character of their attachments.	For they love not boys, but intelligent beings who
55	3.2	3.3	corously and lawfully done can justly be censured.	Now here and in Lacedaemon the rules about love ar
55	3.3	3.4	 Harmodius had a strength which undid their power.	And, therefore, the ill-repute into which these at
55	3.4	3.5	y motive of interest, or wish for office or power.	He may pray, and entreat, and supplicate, and swea
55	3.5	3.6	at we hold these practices to be most disgraceful.	But, as I was saying at first, the truth as I imag
55	3.6	3.7	which of the two classes they respectively belong.	And this is the reason why, in the first place, a 
56	3.8	3.9	for the sake of money; but this is not honourable.	And on the same principle he who gives himself to 
59	4.0	4.1	f disease are not to be indulged, but discouraged.	And this is what the physician has to do, and in t
59	4.1	4.2	of elements which are still in a state of discord.	But what he probably meant was, that harmony is co
59	4.2	4.3	 difficulty begins, and the good artist is needed.	Then the old tale has to be repeated of fair and h
60	4.4	4.5	ty, or rather omnipotent force of love in general.	And the love, more especially, which is concerned 
65	5.0	5.1	wo privy members, and the remainder to correspond.	He could walk upright as men now do, backwards or 
65	5.1	5.2	he advantage of making them more profitable to us.	They shall walk upright on two legs, and if they c
65	5.2	5.3	ctions of entire men or women,--and clung to that.	They were being destroyed, when Zeus in pity of th
65	5.3	5.4	d youths, because they have the most manly nature.	Some indeed assert that they are shameless, but th
65	5.4	5.5	ich she has only a dark and doubtful presentiment.	Suppose Hephaestus, with his instruments, to come 
65	5.5	5.6	lages by the Lacedaemonians (compare Arist. Pol.).	And if we are not obedient to the gods, there is a
65	5.6	5.7	d that will be the attainment of a congenial love.	Wherefore, if we would praise him who has given to
78	6.2	6.3	and yet there remains much more which I might say.	Of his virtue I have now to speak: his greatest gl
78	6.3	6.4	ich he could not be if he were not himself a poet.	And at the touch of him every one becomes a poet, 
83	6.9	6.10	ve, but only that you should appear to praise him.	And so you attribute to Love every imaginable form
131	7.45	7.46	om and ignorance?' 'And what may that be?' I said.	'Right opinion,' she replied; 'which, as you know,
132	7.47	7.48	is on such occasions, came about the doors to beg.	Now Plenty who was the worse for nectar (there was
132	7.48	7.49	 and again alive by reason of his father's nature.	But that which is always flowing in is always flow
133	7.50	7.51	answer is already final.' 'You are right.' I said.	'And is this wish and this desire common to all? a
133	7.51	7.52	 'Very true,' I said. 'And the same holds of love.	For you may say generally that all desire of good 
134	7.53	7.54	ous with the divine, and the beautiful harmonious.	Beauty, then, is the destiny or goddess of parturi
135	7.55	7.56	es behind a new existence in the place of the old.	Nay even in the life of the same individual there 
135	7.56	7.57	s of immortality; but the immortal in another way.	Marvel not then at the love which all men have of 
137	7.59	7.60	e comes to maturity desires to beget and generate.	He wanders about seeking beauty that he may beget 
137	7.60	7.61	only of Lacedaemon, but of Hellas, as one may say?	There is Solon, too, who is the revered father of 
138	7.62	7.63	re honourable than the beauty of the outward form.	So that if a virtuous soul have but a little comel
139	7.64	7.65	 to perceive that beauty, is not far from the end.	And the true order of going, or being led by anoth
139	7.65	7.66	g converse with the true beauty simple and divine?	Remember how in that communion only, beholding bea
142	8.0	8.1	ke (supra Will you have a very drunken man? etc.)?	Will you drink with me or not?'
164	8.23	8.24	flute: that is the difference between you and him.	When we hear any other speaker, even a very good o
164	8.24	8.25	fore I hold my ears and tear myself away from him.	And he is the only person who ever made me ashamed
165	8.26	8.27	 wonderful opinion of the attractions of my youth.	In the prosecution of this design, when I next wen
165	8.27	8.28	 hour was late and that he had much better remain.	So he lay down on the couch next to me, the same o
166	8.29	8.30	earance--like Diomede, gold in exchange for brass.	But look again, sweet friend, and see whether you 
167	8.31	8.32	is fortitude in enduring cold was also surprising.	There was a severe frost, for the winter in that r
170	8.35	8.36	 generals that I and not he should have the prize.	There was another occasion on which his behaviour 
170	8.36	8.37	that is or ever has been is perfectly astonishing.	You may imagine Brasidas and others to have been l
