[2026-09-11T14:16:27Z] created k44jptejfv6lpp tinct-words-run1-16 gpu=None $0.19/hr
[2026-09-11T14:16:28Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:16:45Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:17:01Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:17:18Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:17:34Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:17:50Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:18:06Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:18:22Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:18:38Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:18:55Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:19:11Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:19:27Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:19:43Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:20:00Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:20:16Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:20:32Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:20:48Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:21:05Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:21:21Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:21:37Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:21:55Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:22:11Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:22:28Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:22:45Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:23:01Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:23:18Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:23:34Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:23:50Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:24:07Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:24:23Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:24:39Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:24:56Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:25:13Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:25:29Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:25:45Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:26:02Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:26:19Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:26:36Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:26:52Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:27:10Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:27:26Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:27:44Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:28:00Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:28:17Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:28:34Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:28:51Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:29:07Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:29:24Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:29:40Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:29:57Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:30:14Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:30:30Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:30:47Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:31:04Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:31:21Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:31:36Z] RuntimeError: status server never answered
[2026-09-11T14:31:38Z] stop k44jptejfv6lpp: HTTP 200
[2026-09-11T14:31:40Z] terminate k44jptejfv6lpp: HTTP 204
[2026-09-11T14:31:40Z] pod k44jptejfv6lpp done: outcome=boot-timeout uptime=15.2m est $0.05
