# Per-paragraph assessment and outcome for Symposium modern-en (accessibility pass). Coordinates chapter.index, index 0-based.
# similarity_* = word-token SequenceMatcher ratio against original-en, as in books/classify-modern-en.py. Categories: see ASSESSMENT.md.
coordinate	chapter_title	words_before	words_after	similarity_before	similarity_after	decision	categories	reason_or_note	sha256_before	sha256_after
1.0	The Gathering	152	152	0.413	0.413	RETAIN		Restored opening accepted in the completeness repair (C-02); already modern; kept byte-identical.	ef7250288c0e09b2c54534a33b9e7260f346ef7ffe733bc7e37fb71dfcadf3fd	ef7250288c0e09b2c54534a33b9e7260f346ef7ffe733bc7e37fb71dfcadf3fd
1.1	The Gathering	29	29	0.772	0.772	RETAIN		Restored opening accepted in the completeness repair (C-02); already modern; kept byte-identical.	d408be46351e13b874b162d1607b54f9e5ac66f9afe5e36c4e9da0c6004236b6	d408be46351e13b874b162d1607b54f9e5ac66f9afe5e36c4e9da0c6004236b6
1.2	The Gathering	8	8	0.267	0.267	RETAIN		Restored opening accepted in the completeness repair (C-02); already modern; kept byte-identical.	a6812fa0e68e0845dc65619900a71cd4bcef50376f8030eba6d5d4aca36476b3	a6812fa0e68e0845dc65619900a71cd4bcef50376f8030eba6d5d4aca36476b3
1.3	The Gathering	88	88	0.586	0.586	RETAIN		Restored opening accepted in the completeness repair (C-02); already modern; kept byte-identical.	17aef37dbd177b5cc661cbaa59bacbf1db3339dfb9273710f5e0bd33ecc959f4	17aef37dbd177b5cc661cbaa59bacbf1db3339dfb9273710f5e0bd33ecc959f4
1.4	The Gathering	12	12	0.435	0.435	RETAIN		Restored opening accepted in the completeness repair (C-02); already modern; kept byte-identical.	ba403254bb0493e206df4540e9a0e0060ad68a489d8662f549e47cc90060d4c2	ba403254bb0493e206df4540e9a0e0060ad68a489d8662f549e47cc90060d4c2
1.5	The Gathering	32	32	0.548	0.548	RETAIN		Restored opening accepted in the completeness repair (C-02); already modern; kept byte-identical.	20666242c63eb53d28b62a5359de17007d10cd47115875fc6bf57f5921177cde	20666242c63eb53d28b62a5359de17007d10cd47115875fc6bf57f5921177cde
1.6	The Gathering	19	19	0.514	0.514	RETAIN		Restored opening accepted in the completeness repair (C-02); already modern; kept byte-identical.	24731c50eb63020c332bec143d74777269b03ba95c64c67af0a98e0ab45803bc	24731c50eb63020c332bec143d74777269b03ba95c64c67af0a98e0ab45803bc
1.7	The Gathering	222	222	0.477	0.477	RETAIN		Restored opening accepted in the completeness repair (C-02); already modern; kept byte-identical.	3e044ef2cda90619987d21664244168f272c641719f86f5ef8f27dfed89ac9fd	3e044ef2cda90619987d21664244168f272c641719f86f5ef8f27dfed89ac9fd
1.8	The Gathering	66	66	0.470	0.470	RETAIN		Restored opening accepted in the completeness repair (C-02); already modern; kept byte-identical.	f3d9a5747c9af840948147ab23e1e1c76e0405bc8e26c88884c8aa64b2e67662	f3d9a5747c9af840948147ab23e1e1c76e0405bc8e26c88884c8aa64b2e67662
1.9	The Gathering	32	32	0.545	0.515	TARGETED	SYN	"Usage: ""the reason ... is precisely because"" corrected to ""is precisely that"" (Review 2 #4)."	d3fdc2420ddae1919f031a25d2eb8f15250891a6b77dafb609f150458141142e	3e795cca8a79e0b0b63e33f44c5154c94ab2e1e482c2d506f62c5dc490032e09
1.10	The Gathering	19	19	0.541	0.541	RETAIN		Already clear, faithful modern English; retained (not paraphrased to lower similarity).	15848e91470f4e7d3cc283b44428fd19b0fce4cf4300e239f1ef8754f58d4d68	15848e91470f4e7d3cc283b44428fd19b0fce4cf4300e239f1ef8754f58d4d68
1.11	The Gathering	28	28	0.643	0.643	RETAIN		Already clear, faithful modern English; retained (not paraphrased to lower similarity).	cce06f059fc5d5b3156e5239cc7ec729782f7aac71bc79be99ed544fe2b0a785	cce06f059fc5d5b3156e5239cc7ec729782f7aac71bc79be99ed544fe2b0a785
1.12	The Gathering	40	29	0.805	0.515	TARGETED	SYN REF	"""he asked him whither he was going that he had been converted into such a beau"" survived as an obscure clause (""that he had turned himself into such a fine figure""); rephrased."	3caf7ab0725ecb613c7ec132ce4a20352295a46315bc14e731793c3fa56089b4	988e8727d45936625967777220e7164b4e8ba584137129f1c7f14a502b713bb0
1.13	The Gathering	54	54	0.476	0.476	RETAIN		Already clear, faithful modern English; retained (not paraphrased to lower similarity).	ffcb4510c610d1f7b201e81ff8e59246068d88dfd1987b4388a649305db7387b	ffcb4510c610d1f7b201e81ff8e59246068d88dfd1987b4388a649305db7387b
1.14	The Gathering	8	8	0.706	0.353	TARGETED	REF ARC	"First-person ""I replied"" is Aristodemus speaking inside Apollodorus's retelling, which a first-time reader takes for Apollodorus; speaker named. ""bid"" modernized."	e15baf76f3bfa5344c1f5c14a22c1cca00d07649aae2f9190c4b9f4ffb89f472	07a5ab707430495ac1797ae7f763fdf827a213b725052176e903c28c21f3c5a2
