[2026-09-12T08:32:02Z] created 1zeruq72j202wc tinct-words-run2-97 gpu=None $0.5/hr
[2026-09-12T08:32:04Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:32:20Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:32:36Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:32:53Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:33:09Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:33:26Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:33:42Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:33:58Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:34:14Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:34:30Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:34:46Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:35:03Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:35:19Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:35:35Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:35:51Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:36:07Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:36:23Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:36:39Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:36:55Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:37:11Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:37:28Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:37:44Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:38:00Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:38:16Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:38:32Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:38:48Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:39:05Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:39:21Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:39:37Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:39:53Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:40:10Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:40:26Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:40:42Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:40:58Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:41:15Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:41:31Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:41:47Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:42:03Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:42:19Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:42:36Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:42:53Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:43:09Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:43:26Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:43:42Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:43:58Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:44:14Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:44:31Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:44:47Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:45:03Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:45:19Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:45:36Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:45:52Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:46:08Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:46:25Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:46:41Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:46:57Z] waiting: pod RUNNING agent HTTP 404
[2026-09-12T08:47:12Z] RuntimeError: status server never answered
[2026-09-12T08:47:13Z] stop 1zeruq72j202wc: HTTP 200
[2026-09-12T08:47:15Z] terminate 1zeruq72j202wc: HTTP 204
[2026-09-12T08:47:15Z] pod 1zeruq72j202wc done: outcome=boot-timeout uptime=15.2m est $0.13
