[2026-09-11T14:01:05Z] created fzfb3hb8zrc410 tinct-words-run1-16 gpu=None $0.19/hr
[2026-09-11T14:01:06Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:01:24Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:01:41Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:01:57Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:02:14Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:02:31Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:02:47Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:03:03Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:03:20Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:03:36Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:03:54Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:04:11Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:04:27Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:04:43Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:04:59Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:05:15Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:05:32Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:05:49Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:06:05Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:06:22Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:06:38Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:06:55Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:07:11Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:07:28Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:07:44Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:08:00Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:08:17Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:08:33Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:08:49Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:09:06Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:09:23Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:09:40Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:09:56Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:10:12Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:10:28Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:10:44Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:11:01Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:11:17Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:11:34Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:11:51Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:12:07Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:12:24Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:12:40Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:12:57Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:13:13Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:13:29Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:13:45Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:14:01Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:14:20Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:14:36Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:14:52Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:15:08Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:15:25Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:15:42Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:15:58Z] waiting: pod RUNNING agent HTTP 404
[2026-09-11T14:16:13Z] RuntimeError: status server never answered
[2026-09-11T14:16:14Z] stop fzfb3hb8zrc410: HTTP 200
[2026-09-11T14:16:16Z] terminate fzfb3hb8zrc410: HTTP 204
[2026-09-11T14:16:16Z] pod fzfb3hb8zrc410 done: outcome=boot-timeout uptime=15.1m est $0.05
